"Name","Child Poverty"
"Description","Children under 18 years in households with incomes below the Federal Poverty Level (FPL)."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table S1701 (2005-2019); retrieved&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2019, the FPL for a household consisting of two adults and two children was $25,750. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of children for whom poverty status was determined.&nbsp;"

Location,TimeFrame,DataFormat,Data,Fips
Flushing,2008,Number,7346,407
Fresh Meadows/Briarwood,2008,Number,3070,408
Woodhaven,2008,Number,6035,409
Howard Beach,2008,Number,5897,410
Bayside,2008,Number,2257,411
Jamaica/St. Albans,2008,Number,9120,412
Queens Village,2008,Number,3872,413
The Rockaways,2008,Number,6166,414
St. George,2008,Number,12362,501
South Beach,2008,Number,3439,502
Tottenville,2008,Number,812,503
Bronx,2008,Number,151907,36005
Brooklyn,2008,Number,193031,36047
Manhattan,2008,Number,59338,36061
Queens,2008,Number,79250,36081
Staten Island,2008,Number,16613,36085
New York City,2008,Number,500139,3651000
Battery Park/Tribeca,2007,Number,497.93948,101
Greenwich Village,2007,Number,735.06052,102
Lower East Side,2007,Number,11704,103
Chelsea/Clinton,2007,Number,1626.80286,104
Midtown Business District,2007,Number,814.19714,105
Murray Hill/Stuyvesant,2007,Number,2577,106
Upper West Side,2007,Number,4450,107
Upper East Side,2007,Number,1417,108
Manhattanville,2007,Number,7462,109
Central Harlem,2007,Number,12676,110
East Harlem,2007,Number,10017,111
Washington Heights,2007,Number,20298,112
Mott Haven,2007,Number,15736.34079,201
Hunts Point,2007,Number,8985.65921,202
Morrisania,2007,Number,12588.33503,203
Concourse/Highbridge,2007,Number,21812,204
University Heights,2007,Number,21228,205
East Tremont,2007,Number,13141.66497,206
Bedford Park,2007,Number,15684,207
Riverdale,2007,Number,4364,208
Unionport/Soundview,2007,Number,12451,209
Throgs Neck,2007,Number,2275,210
Pelham Parkway,2007,Number,8656,211
Williamsbridge,2007,Number,7996,212
Williamsburg/Greenpoint,2007,Number,14786,301
Fort Greene/Brooklyn Hts,2007,Number,6790,302
Bedford Stuyvesant,2007,Number,20778,303
Bushwick,2007,Number,16744,304
East New York,2007,Number,16218,305
Park Slope,2007,Number,2377,306
Sunset Park,2007,Number,12347,307
Crown Heights North,2007,Number,13136,308
Crown Heights South,2007,Number,8038,309
Bay Ridge,2007,Number,5031,310
Bensonhurst,2007,Number,6566,311
Borough Park,2007,Number,23678,312
Coney Island,2007,Number,5553,313
Flatbush/Midwood,2007,Number,12870,314
Sheepshead Bay,2007,Number,6942,315
Brownsville,2007,Number,18013,316
East Flatbush,2007,Number,5425,317
Canarsie,2007,Number,4581,318
Astoria,2007,Number,7345,401
Sunnyside/Woodside,2007,Number,3453,402
Jackson Heights,2007,Number,8289,403
Elmhurst/Corona,2007,Number,6142,404
Ridgewood/Glendale,2007,Number,7533,405
Rego Park/Forest Hills,2007,Number,822,406
Flushing,2007,Number,5615,407
Fresh Meadows/Briarwood,2007,Number,6820,408
Woodhaven,2007,Number,4776,409
Howard Beach,2007,Number,5136,410
Bayside,2007,Number,2052,411
Jamaica/St. Albans,2007,Number,12994,412
Queens Village,2007,Number,2479,413
The Rockaways,2007,Number,6104,414
St. George,2007,Number,9648,501
South Beach,2007,Number,2449,502
Tottenville,2007,Number,1911,503
Bronx,2007,Number,144918,36005
Brooklyn,2007,Number,199873,36047
Manhattan,2007,Number,74275,36061
Queens,2007,Number,79560,36081
Staten Island,2007,Number,14008,36085
New York City,2007,Number,512634,3651000
Battery Park/Tribeca,2006,Number,1056.45554,101
Greenwich Village,2006,Number,1559.54446,102
Lower East Side,2006,Number,10173,103
Chelsea/Clinton,2006,Number,1407.54102,104
Midtown Business District,2006,Number,704.45898,105
Murray Hill/Stuyvesant,2006,Number,322,106
Upper West Side,2006,Number,2284,107
Upper East Side,2006,Number,857,108
Manhattanville,2006,Number,8181,109
Central Harlem,2006,Number,10208,110
East Harlem,2006,Number,16880,111
Washington Heights,2006,Number,19736,112
Mott Haven,2006,Number,14098.5443,201
Hunts Point,2006,Number,8050.4557,202
Morrisania,2006,Number,14790.43748,203
Concourse/Highbridge,2006,Number,20641,204
University Heights,2006,Number,24627,205
East Tremont,2006,Number,15440.56252,206
Bedford Park,2006,Number,16527,207
Riverdale,2006,Number,6072,208
Unionport/Soundview,2006,Number,18824,209
Throgs Neck,2006,Number,2461,210
Pelham Parkway,2006,Number,7331,211
Williamsbridge,2006,Number,10036,212
Williamsburg/Greenpoint,2006,Number,22305,301
Fort Greene/Brooklyn Hts,2006,Number,5473,302
Bedford Stuyvesant,2006,Number,22507,303
Bushwick,2006,Number,16015,304
East New York,2006,Number,16607,305
Park Slope,2006,Number,4030,306
Sunset Park,2006,Number,10226,307
Crown Heights North,2006,Number,10403,308
Crown Heights South,2006,Number,8845,309
Bay Ridge,2006,Number,4465,310
Bensonhurst,2006,Number,9044,311
Borough Park,2006,Number,18984,312
Coney Island,2006,Number,4732,313
Flatbush/Midwood,2006,Number,10334,314
Sheepshead Bay,2006,Number,6887,315
Brownsville,2006,Number,19615,316
East Flatbush,2006,Number,11236,317
Canarsie,2006,Number,7459,318
Astoria,2006,Number,10884,401
Sunnyside/Woodside,2006,Number,5945,402
Jackson Heights,2006,Number,8587,403
Elmhurst/Corona,2006,Number,7841,404
Ridgewood/Glendale,2006,Number,5507,405
Rego Park/Forest Hills,2006,Number,2747,406
Flushing,2006,Number,6077,407
Fresh Meadows/Briarwood,2006,Number,2956,408
Woodhaven,2006,Number,7138,409
Howard Beach,2006,Number,4125,410
Bayside,2006,Number,1871,411
Jamaica/St. Albans,2006,Number,7395,412
Queens Village,2006,Number,3559,413
The Rockaways,2006,Number,9992,414
St. George,2006,Number,8836,501
South Beach,2006,Number,3137,502
Tottenville,2006,Number,1356,503
Bronx,2006,Number,158899,36005
Brooklyn,2006,Number,209167,36047
Manhattan,2006,Number,73369,36061
Queens,2006,Number,84624,36081
Staten Island,2006,Number,13329,36085
New York City,2006,Number,539388,3651000
Battery Park/Tribeca,2005,Number,445.84362,101
Greenwich Village,2005,Number,658.15638,102
Lower East Side,2005,Number,10462,103
Chelsea/Clinton,2005,Number,975.0154,104
Midtown Business District,2005,Number,487.98461,105
Murray Hill/Stuyvesant,2005,Number,676,106
Upper West Side,2005,Number,3652,107
Upper East Side,2005,Number,1705,108
Manhattanville,2005,Number,12073,109
Central Harlem,2005,Number,17199,110
East Harlem,2005,Number,11552,111
Washington Heights,2005,Number,19022,112
Mott Haven,2005,Number,19400.21821,201
Hunts Point,2005,Number,11077.78179,202
Morrisania,2005,Number,12423.45866,203
Concourse/Highbridge,2005,Number,19029,204
University Heights,2005,Number,26466,205
East Tremont,2005,Number,12969.54134,206
Bedford Park,2005,Number,14328,207
Riverdale,2005,Number,5618,208
Unionport/Soundview,2005,Number,14624,209
Throgs Neck,2005,Number,2909,210
Pelham Parkway,2005,Number,6145,211
Williamsbridge,2005,Number,8605,212
Williamsburg/Greenpoint,2005,Number,17119,301
Fort Greene/Brooklyn Hts,2005,Number,5034,302
Bedford Stuyvesant,2005,Number,14745,303
Bushwick,2005,Number,17263,304
East New York,2005,Number,15613,305
Park Slope,2005,Number,3577,306
Sunset Park,2005,Number,12310,307
Crown Heights North,2005,Number,11649,308
Crown Heights South,2005,Number,7328,309
Bay Ridge,2005,Number,5525,310
Bensonhurst,2005,Number,10408,311
Borough Park,2005,Number,19233,312
Coney Island,2005,Number,7455,313
Flatbush/Midwood,2005,Number,11410,314
Sheepshead Bay,2005,Number,8902,315
Brownsville,2005,Number,15389,316
East Flatbush,2005,Number,6139,317
Canarsie,2005,Number,7037,318
Astoria,2005,Number,10664,401
Sunnyside/Woodside,2005,Number,4141,402
Jackson Heights,2005,Number,10424,403
Elmhurst/Corona,2005,Number,6276,404
Ridgewood/Glendale,2005,Number,8258,405
Rego Park/Forest Hills,2005,Number,1784,406
Flushing,2005,Number,5503,407
Fresh Meadows/Briarwood,2005,Number,2593,408
Woodhaven,2005,Number,5853,409
Howard Beach,2005,Number,2859,410
Bayside,2005,Number,2048,411
Jamaica/St. Albans,2005,Number,8324,412
Queens Village,2005,Number,3118,413
The Rockaways,2005,Number,6094,414
St. George,2005,Number,11138,501
South Beach,2005,Number,6210,502
Tottenville,2005,Number,2157,503
Bronx,2005,Number,153595,36005
Brooklyn,2005,Number,196136,36047
Manhattan,2005,Number,78908,36061
Queens,2005,Number,77939,36081
Staten Island,2005,Number,19505,36085
New York City,2005,Number,526083,3651000
Battery Park/Tribeca,2011,Percent,0.0515,101
Greenwich Village,2011,Percent,0.0515,102
Lower East Side,2011,Percent,0.39585,103
Chelsea/Clinton,2011,Percent,0.17206,104
Midtown Business District,2011,Percent,0.17206,105
Murray Hill/Stuyvesant,2011,Percent,0,106
Upper West Side,2011,Percent,0.16881,107
Upper East Side,2011,Percent,0.01434,108
Manhattanville,2011,Percent,0.38082,109
Central Harlem,2011,Percent,0.34321,110
East Harlem,2011,Percent,0.41894,111
Washington Heights,2011,Percent,0.37527,112
Mott Haven,2011,Percent,0.48993,201
Hunts Point,2011,Percent,0.48993,202
Morrisania,2011,Percent,0.52005,203
Concourse/Highbridge,2011,Percent,0.49685,204
University Heights,2011,Percent,0.53667,205
East Tremont,2011,Percent,0.52005,206
Bedford Park,2011,Percent,0.42834,207
Riverdale,2011,Percent,0.28743,208
Unionport/Soundview,2011,Percent,0.39243,209
Throgs Neck,2011,Percent,0.18317,210
Pelham Parkway,2011,Percent,0.2964,211
Williamsbridge,2011,Percent,0.24894,212
Williamsburg/Greenpoint,2011,Percent,0.55314,301
Fort Greene/Brooklyn Hts,2011,Percent,0.24569,302
Bedford Stuyvesant,2011,Percent,0.4515,303
Bushwick,2011,Percent,0.49215,304
East New York,2011,Percent,0.39492,305
Park Slope,2011,Percent,0.12613,306
Sunset Park,2011,Percent,0.36735,307
Crown Heights North,2011,Percent,0.37153,308
Crown Heights South,2011,Percent,0.23049,309
Bay Ridge,2011,Percent,0.18648,310
Bensonhurst,2011,Percent,0.26783,311
Borough Park,2011,Percent,0.40075,312
Coney Island,2011,Percent,0.31125,313
Flatbush/Midwood,2011,Percent,0.29482,314
Sheepshead Bay,2011,Percent,0.16259,315
Brownsville,2011,Percent,0.51989,316
East Flatbush,2011,Percent,0.25604,317
Canarsie,2011,Percent,0.21331,318
Astoria,2011,Percent,0.28503,401
Sunnyside/Woodside,2011,Percent,0.21983,402
Jackson Heights,2011,Percent,0.27904,403
Elmhurst/Corona,2011,Percent,0.30536,404
Ridgewood/Glendale,2011,Percent,0.22027,405
Rego Park/Forest Hills,2011,Percent,0.03567,406
Flushing,2011,Percent,0.14914,407
Fresh Meadows/Briarwood,2011,Percent,0.1532,408
Woodhaven,2011,Percent,0.25508,409
Howard Beach,2011,Percent,0.19206,410
Bayside,2011,Percent,0.13373,411
Jamaica/St. Albans,2011,Percent,0.24419,412
Queens Village,2011,Percent,0.14464,413
The Rockaways,2011,Percent,0.25666,414
St. George,2011,Percent,0.31346,501
South Beach,2011,Percent,0.0896,502
Tottenville,2011,Percent,0.0574,503
Bronx,2011,Percent,0.40893,36005
Brooklyn,2011,Percent,0.33641,36047
Manhattan,2011,Percent,0.25552,36061
Queens,2011,Percent,0.21067,36081
Staten Island,2011,Percent,0.17519,36085
New York City,2011,Percent,0.29788,3651000
Battery Park/Tribeca,2010,Percent,0.07531,101
Greenwich Village,2010,Percent,0.07531,102
Lower East Side,2010,Percent,0.30919,103
Chelsea/Clinton,2010,Percent,0.147,104
Midtown Business District,2010,Percent,0.147,105
Murray Hill/Stuyvesant,2010,Percent,0.07093,106
Upper West Side,2010,Percent,0.06474,107
Upper East Side,2010,Percent,0.02411,108
Manhattanville,2010,Percent,0.38533,109
Central Harlem,2010,Percent,0.35769,110
East Harlem,2010,Percent,0.44174,111
Washington Heights,2010,Percent,0.26466,112
Mott Haven,2010,Percent,0.54099,201
Hunts Point,2010,Percent,0.54099,202
Morrisania,2010,Percent,0.58634,203
Concourse/Highbridge,2010,Percent,0.46373,204
University Heights,2010,Percent,0.52453,205
East Tremont,2010,Percent,0.58634,206
Bedford Park,2010,Percent,0.41434,207
Riverdale,2010,Percent,0.28459,208
Unionport/Soundview,2010,Percent,0.33135,209
Throgs Neck,2010,Percent,0.37369,210
Pelham Parkway,2010,Percent,0.29303,211
Williamsbridge,2010,Percent,0.30951,212
Williamsburg/Greenpoint,2010,Percent,0.40889,301
Fort Greene/Brooklyn Hts,2010,Percent,0.22792,302
Bedford Stuyvesant,2010,Percent,0.47039,303
Bushwick,2010,Percent,0.42003,304
East New York,2010,Percent,0.49103,305
Park Slope,2010,Percent,0.13289,306
Sunset Park,2010,Percent,0.33417,307
Crown Heights North,2010,Percent,0.42484,308
Crown Heights South,2010,Percent,0.36744,309
Bay Ridge,2010,Percent,0.22621,310
Bensonhurst,2010,Percent,0.20086,311
Borough Park,2010,Percent,0.44741,312
Coney Island,2010,Percent,0.39436,313
Flatbush/Midwood,2010,Percent,0.31833,314
Sheepshead Bay,2010,Percent,0.19004,315
Brownsville,2010,Percent,0.53432,316
East Flatbush,2010,Percent,0.20626,317
Canarsie,2010,Percent,0.16129,318
Astoria,2010,Percent,0.30177,401
Sunnyside/Woodside,2010,Percent,0.18515,402
Jackson Heights,2010,Percent,0.34078,403
Elmhurst/Corona,2010,Percent,0.26329,404
Ridgewood/Glendale,2010,Percent,0.26497,405
Rego Park/Forest Hills,2010,Percent,0.12308,406
Flushing,2010,Percent,0.14509,407
Fresh Meadows/Briarwood,2010,Percent,0.18705,408
Woodhaven,2010,Percent,0.19724,409
Howard Beach,2010,Percent,0.18089,410
Bayside,2010,Percent,0.08174,411
Jamaica/St. Albans,2010,Percent,0.2815,412
Queens Village,2010,Percent,0.08806,413
The Rockaways,2010,Percent,0.33403,414
St. George,2010,Percent,0.2618,501
South Beach,2010,Percent,0.12638,502
Tottenville,2010,Percent,0.10167,503
Bronx,2010,Percent,0.42978,36005
Brooklyn,2010,Percent,0.33966,36047
Manhattan,2010,Percent,0.22054,36061
Queens,2010,Percent,0.21846,36081
Staten Island,2010,Percent,0.17067,36085
New York City,2010,Percent,0.30042,3651000
Battery Park/Tribeca,2009,Percent,0.07102,101
Greenwich Village,2009,Percent,0.07102,102
Lower East Side,2009,Percent,0.34423,103
Chelsea/Clinton,2009,Percent,0.15939,104
Midtown Business District,2009,Percent,0.15939,105
Murray Hill/Stuyvesant,2009,Percent,0.04174,106
Upper West Side,2009,Percent,0.09487,107
Upper East Side,2009,Percent,0.03694,108
Manhattanville,2009,Percent,0.41129,109
Central Harlem,2009,Percent,0.33543,110
East Harlem,2009,Percent,0.45425,111
Washington Heights,2009,Percent,0.39234,112
Mott Haven,2009,Percent,0.53053,201
Hunts Point,2009,Percent,0.53053,202
Morrisania,2009,Percent,0.45828,203
Concourse/Highbridge,2009,Percent,0.44341,204
University Heights,2009,Percent,0.52722,205
East Tremont,2009,Percent,0.45828,206
Bedford Park,2009,Percent,0.48167,207
Riverdale,2009,Percent,0.19781,208
Unionport/Soundview,2009,Percent,0.39074,209
Throgs Neck,2009,Percent,0.21247,210
Pelham Parkway,2009,Percent,0.27172,211
Williamsbridge,2009,Percent,0.28018,212
Williamsburg/Greenpoint,2009,Percent,0.53585,301
Fort Greene/Brooklyn Hts,2009,Percent,0.24068,302
Bedford Stuyvesant,2009,Percent,0.47997,303
Bushwick,2009,Percent,0.45329,304
East New York,2009,Percent,0.44832,305
Park Slope,2009,Percent,0.08564,306
Sunset Park,2009,Percent,0.38814,307
Crown Heights North,2009,Percent,0.34479,308
Crown Heights South,2009,Percent,0.25583,309
Bay Ridge,2009,Percent,0.19975,310
Bensonhurst,2009,Percent,0.17779,311
Borough Park,2009,Percent,0.37555,312
Coney Island,2009,Percent,0.25767,313
Flatbush/Midwood,2009,Percent,0.35471,314
Sheepshead Bay,2009,Percent,0.10971,315
Brownsville,2009,Percent,0.46239,316
East Flatbush,2009,Percent,0.13696,317
Canarsie,2009,Percent,0.12887,318
Astoria,2009,Percent,0.2156,401
Sunnyside/Woodside,2009,Percent,0.09726,402
Jackson Heights,2009,Percent,0.17536,403
Elmhurst/Corona,2009,Percent,0.30111,404
Ridgewood/Glendale,2009,Percent,0.17231,405
Rego Park/Forest Hills,2009,Percent,0.07847,406
Flushing,2009,Percent,0.09182,407
Fresh Meadows/Briarwood,2009,Percent,0.13759,408
