"Name","Child Poverty by Household Type"
"Description","Children in single parent households are defined as the
biological, adopted, or step children of household
heads in family households where no spouse is present.&nbsp;Other households are those for whom the child's relationship to householder is defined as other relative, foster or unrelated child.&nbsp;Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average.&nbsp;"
"Source Notes","CCC analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample Files (2012 - 2019)."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2019, the FPL for a household consisting of two adults and two children was $25,750. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the children in the selected household type for whom poverty status was determined.&nbsp;"

Location,Household Type,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,Married Couples,2014,Number,132.86463,101
Battery Park/Tribeca,Single Mothers,2014,Number,109.44169,101
Battery Park/Tribeca,Single Fathers,2014,Number,21.80757,101
Battery Park/Tribeca,Grandparents,2014,Number,18.17297,101
Battery Park/Tribeca,Other,2014,Number,48.46126,101
Greenwich Village,Married Couples,2014,Number,196.13537,102
Greenwich Village,Single Mothers,2014,Number,161.55831,102
Greenwich Village,Single Fathers,2014,Number,32.19243,102
Greenwich Village,Grandparents,2014,Number,26.82703,102
Greenwich Village,Other,2014,Number,71.53874,102
Lower East Side,Married Couples,2014,Number,1307,103
Lower East Side,Single Mothers,2014,Number,3422,103
Lower East Side,Single Fathers,2014,Number,253,103
Lower East Side,Grandparents,2014,Number,1312,103
Lower East Side,Other,2014,Number,142,103
Chelsea/Clinton,Married Couples,2014,Number,173.27683,104
Chelsea/Clinton,Single Mothers,2014,Number,896.37437,104
Chelsea/Clinton,Single Fathers,2014,Number,0,104
Chelsea/Clinton,Grandparents,2014,Number,31.32312,104
Chelsea/Clinton,Other,2014,Number,201.2677,104
Midtown Business District,Married Couples,2014,Number,86.72317,105
Midtown Business District,Single Mothers,2014,Number,448.62563,105
Midtown Business District,Single Fathers,2014,Number,0,105
Midtown Business District,Grandparents,2014,Number,15.67688,105
Midtown Business District,Other,2014,Number,100.7323,105
Murray Hill/Stuyvesant,Married Couples,2014,Number,97,106
Murray Hill/Stuyvesant,Single Mothers,2014,Number,126,106
Murray Hill/Stuyvesant,Single Fathers,2014,Number,0,106
Murray Hill/Stuyvesant,Grandparents,2014,Number,0,106
Murray Hill/Stuyvesant,Other,2014,Number,0,106
Upper West Side,Married Couples,2014,Number,561,107
Upper West Side,Single Mothers,2014,Number,470,107
Upper West Side,Single Fathers,2014,Number,508,107
Upper West Side,Grandparents,2014,Number,229,107
Upper West Side,Other,2014,Number,89,107
Upper East Side,Married Couples,2014,Number,1800,108
Upper East Side,Single Mothers,2014,Number,969,108
Upper East Side,Single Fathers,2014,Number,0,108
Upper East Side,Grandparents,2014,Number,147,108
Upper East Side,Other,2014,Number,0,108
Manhattanville,Married Couples,2014,Number,1248,109
Manhattanville,Single Mothers,2014,Number,4831,109
Manhattanville,Single Fathers,2014,Number,298,109
Manhattanville,Grandparents,2014,Number,692,109
Manhattanville,Other,2014,Number,217,109
Central Harlem,Married Couples,2014,Number,1389,110
Central Harlem,Single Mothers,2014,Number,6282,110
Central Harlem,Single Fathers,2014,Number,1695,110
Central Harlem,Grandparents,2014,Number,1316,110
Central Harlem,Other,2014,Number,383,110
East Harlem,Married Couples,2014,Number,2317,111
East Harlem,Single Mothers,2014,Number,6304,111
East Harlem,Single Fathers,2014,Number,702,111
East Harlem,Grandparents,2014,Number,1190,111
East Harlem,Other,2014,Number,493,111
Washington Heights,Married Couples,2014,Number,2777,112
Washington Heights,Single Mothers,2014,Number,5811,112
Washington Heights,Single Fathers,2014,Number,823,112
Washington Heights,Grandparents,2014,Number,2416,112
Washington Heights,Other,2014,Number,1413,112
Mott Haven,Married Couples,2014,Number,3414.35693,201
Mott Haven,Single Mothers,2014,Number,9297.82097,201
Mott Haven,Single Fathers,2014,Number,1089.10602,201
Mott Haven,Grandparents,2014,Number,1399.09704,201
Mott Haven,Other,2014,Number,587.51891,201
Hunts Point,Married Couples,2014,Number,1949.64307,202
Hunts Point,Single Mothers,2014,Number,5309.17903,202
Hunts Point,Single Fathers,2014,Number,621.89398,202
Hunts Point,Grandparents,2014,Number,798.90296,202
Hunts Point,Other,2014,Number,335.48109,202
Morrisania,Married Couples,2014,Number,1735.8497,203
Morrisania,Single Mothers,2014,Number,8485.01727,203
Morrisania,Single Fathers,2014,Number,624.7689,203
Morrisania,Grandparents,2014,Number,1110.1023,203
Morrisania,Other,2014,Number,325.83875,203
Concourse/Highbridge,Married Couples,2014,Number,4463,204
Concourse/Highbridge,Single Mothers,2014,Number,11034,204
Concourse/Highbridge,Single Fathers,2014,Number,624,204
Concourse/Highbridge,Grandparents,2014,Number,1066,204
Concourse/Highbridge,Other,2014,Number,1161,204
University Heights,Married Couples,2014,Number,3094,205
University Heights,Single Mothers,2014,Number,13246,205
University Heights,Single Fathers,2014,Number,1281,205
University Heights,Grandparents,2014,Number,2139,205
University Heights,Other,2014,Number,581,205
East Tremont,Married Couples,2014,Number,1812.1503,206
East Tremont,Single Mothers,2014,Number,8857.98273,206
East Tremont,Single Fathers,2014,Number,652.2311,206
East Tremont,Grandparents,2014,Number,1158.8977,206
East Tremont,Other,2014,Number,340.16125,206
Bedford Park,Married Couples,2014,Number,4064,207
Bedford Park,Single Mothers,2014,Number,8515,207
Bedford Park,Single Fathers,2014,Number,121,207
Bedford Park,Grandparents,2014,Number,1439,207
Bedford Park,Other,2014,Number,732,207
Riverdale,Married Couples,2014,Number,599,208
Riverdale,Single Mothers,2014,Number,3461,208
Riverdale,Single Fathers,2014,Number,1181,208
Riverdale,Grandparents,2014,Number,441,208
Riverdale,Other,2014,Number,148,208
Unionport/Soundview,Married Couples,2014,Number,2913,209
Unionport/Soundview,Single Mothers,2014,Number,12882,209
Unionport/Soundview,Single Fathers,2014,Number,1437,209
Unionport/Soundview,Grandparents,2014,Number,1595,209
Unionport/Soundview,Other,2014,Number,762,209
Throgs Neck,Married Couples,2014,Number,1123,210
Throgs Neck,Single Mothers,2014,Number,1876,210
Throgs Neck,Single Fathers,2014,Number,193,210
Throgs Neck,Grandparents,2014,Number,192,210
Throgs Neck,Other,2014,Number,51,210
Pelham Parkway,Married Couples,2014,Number,3260,211
Pelham Parkway,Single Mothers,2014,Number,4027,211
Pelham Parkway,Single Fathers,2014,Number,771,211
Pelham Parkway,Grandparents,2014,Number,680,211
Pelham Parkway,Other,2014,Number,82,211
Williamsbridge,Married Couples,2014,Number,1676,212
Williamsbridge,Single Mothers,2014,Number,7678,212
Williamsbridge,Single Fathers,2014,Number,736,212
Williamsbridge,Grandparents,2014,Number,667,212
Williamsbridge,Other,2014,Number,196,212
Williamsburg/Greenpoint,Married Couples,2014,Number,10977,301
Williamsburg/Greenpoint,Single Mothers,2014,Number,2860,301
Williamsburg/Greenpoint,Single Fathers,2014,Number,425,301
Williamsburg/Greenpoint,Grandparents,2014,Number,899,301
Williamsburg/Greenpoint,Other,2014,Number,104,301
Fort Greene/Brooklyn Hts,Married Couples,2014,Number,2081,302
Fort Greene/Brooklyn Hts,Single Mothers,2014,Number,2459,302
Fort Greene/Brooklyn Hts,Single Fathers,2014,Number,188,302
Fort Greene/Brooklyn Hts,Grandparents,2014,Number,866,302
Fort Greene/Brooklyn Hts,Other,2014,Number,59,302
Bedford Stuyvesant,Married Couples,2014,Number,7832,303
Bedford Stuyvesant,Single Mothers,2014,Number,6318,303
Bedford Stuyvesant,Single Fathers,2014,Number,375,303
Bedford Stuyvesant,Grandparents,2014,Number,1672,303
Bedford Stuyvesant,Other,2014,Number,789,303
Bushwick,Married Couples,2014,Number,2426,304
Bushwick,Single Mothers,2014,Number,5111,304
Bushwick,Single Fathers,2014,Number,853,304
Bushwick,Grandparents,2014,Number,1264,304
Bushwick,Other,2014,Number,845,304
East New York,Married Couples,2014,Number,2862,305
East New York,Single Mothers,2014,Number,8362,305
East New York,Single Fathers,2014,Number,1010,305
East New York,Grandparents,2014,Number,1930,305
East New York,Other,2014,Number,669,305
Park Slope,Married Couples,2014,Number,942,306
Park Slope,Single Mothers,2014,Number,1105,306
Park Slope,Single Fathers,2014,Number,105,306
Park Slope,Grandparents,2014,Number,133,306
Park Slope,Other,2014,Number,0,306
Sunset Park,Married Couples,2014,Number,9345,307
Sunset Park,Single Mothers,2014,Number,3027,307
Sunset Park,Single Fathers,2014,Number,1286,307
Sunset Park,Grandparents,2014,Number,772,307
Sunset Park,Other,2014,Number,959,307
Crown Heights North,Married Couples,2014,Number,1640,308
Crown Heights North,Single Mothers,2014,Number,4828,308
Crown Heights North,Single Fathers,2014,Number,577,308
Crown Heights North,Grandparents,2014,Number,1033,308
Crown Heights North,Other,2014,Number,1042,308
Crown Heights South,Married Couples,2014,Number,2182,309
Crown Heights South,Single Mothers,2014,Number,3260,309
Crown Heights South,Single Fathers,2014,Number,318,309
Crown Heights South,Grandparents,2014,Number,665,309
Crown Heights South,Other,2014,Number,369,309
Bay Ridge,Married Couples,2014,Number,4084,310
Bay Ridge,Single Mothers,2014,Number,998,310
Bay Ridge,Single Fathers,2014,Number,563,310
Bay Ridge,Grandparents,2014,Number,600,310
Bay Ridge,Other,2014,Number,83,310
Bensonhurst,Married Couples,2014,Number,6908,311
Bensonhurst,Single Mothers,2014,Number,2140,311
Bensonhurst,Single Fathers,2014,Number,459,311
Bensonhurst,Grandparents,2014,Number,239,311
Bensonhurst,Other,2014,Number,218,311
Borough Park,Married Couples,2014,Number,22888,312
Borough Park,Single Mothers,2014,Number,2552,312
Borough Park,Single Fathers,2014,Number,579,312
Borough Park,Grandparents,2014,Number,303,312
Borough Park,Other,2014,Number,416,312
Coney Island,Married Couples,2014,Number,3145,313
Coney Island,Single Mothers,2014,Number,2576,313
Coney Island,Single Fathers,2014,Number,823,313
Coney Island,Grandparents,2014,Number,579,313
Coney Island,Other,2014,Number,353,313
Flatbush/Midwood,Married Couples,2014,Number,6491,314
Flatbush/Midwood,Single Mothers,2014,Number,2602,314
Flatbush/Midwood,Single Fathers,2014,Number,378,314
Flatbush/Midwood,Grandparents,2014,Number,777,314
Flatbush/Midwood,Other,2014,Number,581,314
Sheepshead Bay,Married Couples,2014,Number,5427,315
Sheepshead Bay,Single Mothers,2014,Number,1054,315
Sheepshead Bay,Single Fathers,2014,Number,944,315
Sheepshead Bay,Grandparents,2014,Number,117,315
Sheepshead Bay,Other,2014,Number,304,315
Brownsville,Married Couples,2014,Number,1850,316
Brownsville,Single Mothers,2014,Number,11425,316
Brownsville,Single Fathers,2014,Number,858,316
Brownsville,Grandparents,2014,Number,1690,316
Brownsville,Other,2014,Number,805,316
East Flatbush,Married Couples,2014,Number,1739,317
East Flatbush,Single Mothers,2014,Number,3839,317
East Flatbush,Single Fathers,2014,Number,568,317
East Flatbush,Grandparents,2014,Number,1069,317
East Flatbush,Other,2014,Number,343,317
Canarsie,Married Couples,2014,Number,1818,318
Canarsie,Single Mothers,2014,Number,4014,318
Canarsie,Single Fathers,2014,Number,880,318
Canarsie,Grandparents,2014,Number,284,318
Canarsie,Other,2014,Number,507,318
Astoria,Married Couples,2014,Number,3165,401
Astoria,Single Mothers,2014,Number,2842,401
Astoria,Single Fathers,2014,Number,188,401
Astoria,Grandparents,2014,Number,456,401
Astoria,Other,2014,Number,187,401
Sunnyside/Woodside,Married Couples,2014,Number,3260,402
Sunnyside/Woodside,Single Mothers,2014,Number,1905,402
Sunnyside/Woodside,Single Fathers,2014,Number,240,402
Sunnyside/Woodside,Grandparents,2014,Number,348,402
Sunnyside/Woodside,Other,2014,Number,187,402
Jackson Heights,Married Couples,2014,Number,4290,403
Jackson Heights,Single Mothers,2014,Number,4218,403
Jackson Heights,Single Fathers,2014,Number,747,403
Jackson Heights,Grandparents,2014,Number,389,403
Jackson Heights,Other,2014,Number,660,403
Elmhurst/Corona,Married Couples,2014,Number,3680,404
Elmhurst/Corona,Single Mothers,2014,Number,3651,404
Elmhurst/Corona,Single Fathers,2014,Number,1644,404
Elmhurst/Corona,Grandparents,2014,Number,366,404
Elmhurst/Corona,Other,2014,Number,681,404
Ridgewood/Glendale,Married Couples,2014,Number,1723,405
Ridgewood/Glendale,Single Mothers,2014,Number,3241,405
Ridgewood/Glendale,Single Fathers,2014,Number,350,405
Ridgewood/Glendale,Grandparents,2014,Number,440,405
Ridgewood/Glendale,Other,2014,Number,268,405
Rego Park/Forest Hills,Married Couples,2014,Number,1550,406
Rego Park/Forest Hills,Single Mothers,2014,Number,527,406
Rego Park/Forest Hills,Single Fathers,2014,Number,63,406
Rego Park/Forest Hills,Grandparents,2014,Number,140,406
Rego Park/Forest Hills,Other,2014,Number,33,406
Flushing,Married Couples,2014,Number,5017,407
Flushing,Single Mothers,2014,Number,2634,407
Flushing,Single Fathers,2014,Number,348,407
Flushing,Grandparents,2014,Number,109,407
Flushing,Other,2014,Number,270,407
Fresh Meadows/Briarwood,Married Couples,2014,Number,4048,408
Fresh Meadows/Briarwood,Single Mothers,2014,Number,1779,408
Fresh Meadows/Briarwood,Single Fathers,2014,Number,26,408
Fresh Meadows/Briarwood,Grandparents,2014,Number,769,408
Fresh Meadows/Briarwood,Other,2014,Number,761,408
Woodhaven,Married Couples,2014,Number,3549,409
Woodhaven,Single Mothers,2014,Number,3179,409
Woodhaven,Single Fathers,2014,Number,337,409
Woodhaven,Grandparents,2014,Number,523,409
Woodhaven,Other,2014,Number,330,409
Howard Beach,Married Couples,2014,Number,2709,410
Howard Beach,Single Mothers,2014,Number,2589,410
Howard Beach,Single Fathers,2014,Number,281,410
Howard Beach,Grandparents,2014,Number,392,410
Howard Beach,Other,2014,Number,287,410
Bayside,Married Couples,2014,Number,1426,411
Bayside,Single Mothers,2014,Number,250,411
Bayside,Single Fathers,2014,Number,219,411
Bayside,Grandparents,2014,Number,0,411
Bayside,Other,2014,Number,53,411
Jamaica/St. Albans,Married Couples,2014,Number,4357,412
Jamaica/St. Albans,Single Mothers,2014,Number,5830,412
Jamaica/St. Albans,Single Fathers,2014,Number,1491,412
Jamaica/St. Albans,Grandparents,2014,Number,1639,412
Jamaica/St. Albans,Other,2014,Number,800,412
Queens Village,Married Couples,2014,Number,1347,413
Queens Village,Single Mothers,2014,Number,2330,413
Queens Village,Single Fathers,2014,Number,408,413
Queens Village,Grandparents,2014,Number,854,413
Queens Village,Other,2014,Number,377,413
The Rockaways,Married Couples,2014,Number,2383,414
The Rockaways,Single Mothers,2014,Number,4558,414
The Rockaways,Single Fathers,2014,Number,317,414
The Rockaways,Grandparents,2014,Number,610,414
The Rockaways,Other,2014,Number,201,414
St. George,Married Couples,2014,Number,2742,501
St. George,Single Mothers,2014,Number,9598,501
St. George,Single Fathers,2014,Number,478,501
St. George,Grandparents,2014,Number,957,501
St. George,Other,2014,Number,334,501
South Beach,Married Couples,2014,Number,977,502
South Beach,Single Mothers,2014,Number,1751,502
South Beach,Single Fathers,2014,Number,145,502
South Beach,Grandparents,2014,Number,214,502
South Beach,Other,2014,Number,109,502
Tottenville,Married Couples,2014,Number,1030,503
Tottenville,Single Mothers,2014,Number,1207,503
Tottenville,Single Fathers,2014,Number,393,503
Tottenville,Grandparents,2014,Number,94,503
Tottenville,Other,2014,Number,427,503
Bronx,Married Couples,2014,Number,30104,36005
Bronx,Single Mothers,2014,Number,94669,36005
Bronx,Single Fathers,2014,Number,9333,36005
Bronx,Grandparents,2014,Number,12686,36005
Bronx,Other,2014,Number,5301,36005
Brooklyn,Married Couples,2014,Number,94638,36047
Brooklyn,Single Mothers,2014,Number,68528,36047
Brooklyn,Single Fathers,2014,Number,11189,36047
Brooklyn,Grandparents,2014,Number,14894,36047
Brooklyn,Other,2014,Number,8447,36047
Manhattan,Married Couples,2014,Number,12085,36061
Manhattan,Single Mothers,2014,Number,29832,36061
Manhattan,Single Fathers,2014,Number,4333,36061
Manhattan,Grandparents,2014,Number,7394,36061
Manhattan,Other,2014,Number,3158,36061
Queens,Married Couples,2014,Number,42503,36081
Queens,Single Mothers,2014,Number,39532,36081
Queens,Single Fathers,2014,Number,6659,36081
Queens,Grandparents,2014,Number,7037,36081
Queens,Other,2014,Number,5095,36081
Staten Island,Married Couples,2014,Number,4749,36085
Staten Island,Single Mothers,2014,Number,12556,36085
Staten Island,Single Fathers,2014,Number,1016,36085
Staten Island,Grandparents,2014,Number,1266,36085
Staten Island,Other,2014,Number,870,36085
New York City,Married Couples,2014,Number,184079,3651000
New York City,Single Mothers,2014,Number,245117,3651000
New York City,Single Fathers,2014,Number,32531,3651000
New York City,Grandparents,2014,Number,43276,3651000
New York City,Other,2014,Number,22871,3651000
Battery Park/Tribeca,Married Couples,2014,Percent,0.02,101
Battery Park/Tribeca,Single Mothers,2014,Percent,0.127,101
Battery Park/Tribeca,Single Fathers,2014,Percent,0.254,101
Battery Park/Tribeca,Grandparents,2014,Percent,0.096,101
Battery Park/Tribeca,Other,2014,Percent,0.322,101
Greenwich Village,Married Couples,2014,Percent,0.02,102
Greenwich Village,Single Mothers,2014,Percent,0.127,102
Greenwich Village,Single Fathers,2014,Percent,0.254,102
Greenwich Village,Grandparents,2014,Percent,0.096,102
Greenwich Village,Other,2014,Percent,0.322,102
Lower East Side,Married Couples,2014,Percent,0.153,103
Lower East Side,Single Mothers,2014,Percent,0.56,103
Lower East Side,Single Fathers,2014,Percent,0.326,103
Lower East Side,Grandparents,2014,Percent,0.492,103
Lower East Side,Other,2014,Percent,0.387,103
Chelsea/Clinton,Married Couples,2014,Percent,0.036,104
Chelsea/Clinton,Single Mothers,2014,Percent,0.456,104
Chelsea/Clinton,Single Fathers,2014,Percent,0,104
Chelsea/Clinton,Grandparents,2014,Percent,0.15,104
Chelsea/Clinton,Other,2014,Percent,0.726,104
Midtown Business District,Married Couples,2014,Percent,0.036,105
Midtown Business District,Single Mothers,2014,Percent,0.456,105
Midtown Business District,Single Fathers,2014,Percent,0,105
Midtown Business District,Grandparents,2014,Percent,0.15,105
Midtown Business District,Other,2014,Percent,0.726,105
Murray Hill/Stuyvesant,Married Couples,2014,Percent,0.011,106
Murray Hill/Stuyvesant,Single Mothers,2014,Percent,0.141,106
Murray Hill/Stuyvesant,Single Fathers,2014,Percent,0,106
Murray Hill/Stuyvesant,Grandparents,2014,Percent,0,106
Murray Hill/Stuyvesant,Other,2014,Percent,0,106
Upper West Side,Married Couples,2014,Percent,0.025,107
Upper West Side,Single Mothers,2014,Percent,0.146,107
Upper West Side,Single Fathers,2014,Percent,0.436,107
Upper West Side,Grandparents,2014,Percent,0.458,107
Upper West Side,Other,2014,Percent,1,107
Upper East Side,Married Couples,2014,Percent,0.065,108
Upper East Side,Single Mothers,2014,Percent,0.251,108
Upper East Side,Single Fathers,2014,Percent,0,108
Upper East Side,Grandparents,2014,Percent,0.317,108
Upper East Side,Other,2014,Percent,0,108
Manhattanville,Married Couples,2014,Percent,0.17,109
Manhattanville,Single Mothers,2014,Percent,0.658,109
Manhattanville,Single Fathers,2014,Percent,0.169,109
Manhattanville,Grandparents,2014,Percent,0.218,109
Manhattanville,Other,2014,Percent,0.335,109
Central Harlem,Married Couples,2014,Percent,0.128,110
Central Harlem,Single Mothers,2014,Percent,0.524,110
Central Harlem,Single Fathers,2014,Percent,0.592,110
Central Harlem,Grandparents,2014,Percent,0.326,110
Central Harlem,Other,2014,Percent,0.328,110
East Harlem,Married Couples,2014,Percent,0.266,111
East Harlem,Single Mothers,2014,Percent,0.531,111
East Harlem,Single Fathers,2014,Percent,0.46,111
East Harlem,Grandparents,2014,Percent,0.465,111
East Harlem,Other,2014,Percent,0.465,111
Washington Heights,Married Couples,2014,Percent,0.206,112
Washington Heights,Single Mothers,2014,Percent,0.526,112
Washington Heights,Single Fathers,2014,Percent,0.259,112
Washington Heights,Grandparents,2014,Percent,0.368,112
Washington Heights,Other,2014,Percent,0.403,112
Mott Haven,Married Couples,2014,Percent,0.417,201
Mott Haven,Single Mothers,2014,Percent,0.591,201
Mott Haven,Single Fathers,2014,Percent,0.653,201
Mott Haven,Grandparents,2014,Percent,0.521,201
Mott Haven,Other,2014,Percent,0.437,201
Hunts Point,Married Couples,2014,Percent,0.417,202
Hunts Point,Single Mothers,2014,Percent,0.591,202
Hunts Point,Single Fathers,2014,Percent,0.653,202
Hunts Point,Grandparents,2014,Percent,0.521,202
Hunts Point,Other,2014,Percent,0.437,202
Morrisania,Married Couples,2014,Percent,0.291,203
Morrisania,Single Mothers,2014,Percent,0.647,203
Morrisania,Single Fathers,2014,Percent,0.487,203
Morrisania,Grandparents,2014,Percent,0.466,203
Morrisania,Other,2014,Percent,0.31,203
Concourse/Highbridge,Married Couples,2014,Percent,0.352,204
Concourse/Highbridge,Single Mothers,2014,Percent,0.61,204
Concourse/Highbridge,Single Fathers,2014,Percent,0.338,204
Concourse/Highbridge,Grandparents,2014,Percent,0.329,204
Concourse/Highbridge,Other,2014,Percent,0.432,204
University Heights,Married Couples,2014,Percent,0.411,205
University Heights,Single Mothers,2014,Percent,0.674,205
University Heights,Single Fathers,2014,Percent,0.467,205
University Heights,Grandparents,2014,Percent,0.579,205
University Heights,Other,2014,Percent,0.315,205
East Tremont,Married Couples,2014,Percent,0.291,206
East Tremont,Single Mothers,2014,Percent,0.647,206
East Tremont,Single Fathers,2014,Percent,0.487,206
East Tremont,Grandparents,2014,Percent,0.466,206
East Tremont,Other,2014,Percent,0.31,206
Bedford Park,Married Couples,2014,Percent,0.315,207
Bedford Park,Single Mothers,2014,Percent,0.603,207
Bedford Park,Single Fathers,2014,Percent,0.061,207
Bedford Park,Grandparents,2014,Percent,0.398,207
Bedford Park,Other,2014,Percent,0.411,207
Riverdale,Married Couples,2014,Percent,0.053,208
Riverdale,Single Mothers,2014,Percent,0.456,208
Riverdale,Single Fathers,2014,Percent,0.584,208
Riverdale,Grandparents,2014,Percent,0.288,208
Riverdale,Other,2014,Percent,0.28,208
Unionport/Soundview,Married Couples,2014,Percent,0.231,209
Unionport/Soundview,Single Mothers,2014,Percent,0.625,209
Unionport/Soundview,Single Fathers,2014,Percent,0.401,209
Unionport/Soundview,Grandparents,2014,Percent,0.34,209
Unionport/Soundview,Other,2014,Percent,0.34,209
Throgs Neck,Married Couples,2014,Percent,0.085,210
Throgs Neck,Single Mothers,2014,Percent,0.222,210
Throgs Neck,Single Fathers,2014,Percent,0.188,210
Throgs Neck,Grandparents,2014,Percent,0.157,210
Throgs Neck,Other,2014,Percent,0.106,210
Pelham Parkway,Married Couples,2014,Percent,0.212,211
Pelham Parkway,Single Mothers,2014,Percent,0.403,211
Pelham Parkway,Single Fathers,2014,Percent,0.404,211
Pelham Parkway,Grandparents,2014,Percent,0.297,211
Pelham Parkway,Other,2014,Percent,0.179,211
Williamsbridge,Married Couples,2014,Percent,0.141,212
Williamsbridge,Single Mothers,2014,Percent,0.548,212
Williamsbridge,Single Fathers,2014,Percent,0.289,212
Williamsbridge,Grandparents,2014,Percent,0.195,212
Williamsbridge,Other,2014,Percent,0.151,212
Williamsburg/Greenpoint,Married Couples,2014,Percent,0.47,301
Williamsburg/Greenpoint,Single Mothers,2014,Percent,0.568,301
Williamsburg/Greenpoint,Single Fathers,2014,Percent,0.351,301
Williamsburg/Greenpoint,Grandparents,2014,Percent,0.451,301
Williamsburg/Greenpoint,Other,2014,Percent,0.203,301
Fort Greene/Brooklyn Hts,Married Couples,2014,Percent,0.141,302
Fort Greene/Brooklyn Hts,Single Mothers,2014,Percent,0.473,302
Fort Greene/Brooklyn Hts,Single Fathers,2014,Percent,0.19,302
Fort Greene/Brooklyn Hts,Grandparents,2014,Percent,0.452,302
Fort Greene/Brooklyn Hts,Other,2014,Percent,0.097,302
Bedford Stuyvesant,Married Couples,2014,Percent,0.447,303
Bedford Stuyvesant,Single Mothers,2014,Percent,0.581,303
Bedford Stuyvesant,Single Fathers,2014,Percent,0.269,303
Bedford Stuyvesant,Grandparents,2014,Percent,0.399,303
Bedford Stuyvesant,Other,2014,Percent,0.452,303
Bushwick,Married Couples,2014,Percent,0.197,304
Bushwick,Single Mothers,2014,Percent,0.495,304
Bushwick,Single Fathers,2014,Percent,0.315,304
Bushwick,Grandparents,2014,Percent,0.295,304
Bushwick,Other,2014,Percent,0.429,304
East New York,Married Couples,2014,Percent,0.216,305
East New York,Single Mothers,2014,Percent,0.495,305
East New York,Single Fathers,2014,Percent,0.307,305
East New York,Grandparents,2014,Percent,0.323,305
East New York,Other,2014,Percent,0.336,305
Park Slope,Married Couples,2014,Percent,0.052,306
Park Slope,Single Mothers,2014,Percent,0.37,306
Park Slope,Single Fathers,2014,Percent,0.173,306
Park Slope,Grandparents,2014,Percent,0.15,306
Park Slope,Other,2014,Percent,0,306
Sunset Park,Married Couples,2014,Percent,0.396,307
Sunset Park,Single Mothers,2014,Percent,0.511,307
Sunset Park,Single Fathers,2014,Percent,0.603,307
Sunset Park,Grandparents,2014,Percent,0.278,307
Sunset Park,Other,2014,Percent,0.469,307
Crown Heights North,Married Couples,2014,Percent,0.182,308
Crown Heights North,Single Mothers,2014,Percent,0.464,308
Crown Heights North,Single Fathers,2014,Percent,0.513,308
Crown Heights North,Grandparents,2014,Percent,0.325,308
Crown Heights North,Other,2014,Percent,0.539,308
Crown Heights South,Married Couples,2014,Percent,0.193,309
Crown Heights South,Single Mothers,2014,Percent,0.46,309
Crown Heights South,Single Fathers,2014,Percent,0.269,309
Crown Heights South,Grandparents,2014,Percent,0.19,309
Crown Heights South,Other,2014,Percent,0.252,309
Bay Ridge,Married Couples,2014,Percent,0.206,310
Bay Ridge,Single Mothers,2014,Percent,0.356,310
Bay Ridge,Single Fathers,2014,Percent,0.383,310
Bay Ridge,Grandparents,2014,Percent,0.427,310
Bay Ridge,Other,2014,Percent,0.068,310
Bensonhurst,Married Couples,2014,Percent,0.25,311
Bensonhurst,Single Mothers,2014,Percent,0.461,311
Bensonhurst,Single Fathers,2014,Percent,0.258,311
Bensonhurst,Grandparents,2014,Percent,0.098,311
Bensonhurst,Other,2014,Percent,0.181,311
Borough Park,Married Couples,2014,Percent,0.466,312
Borough Park,Single Mothers,2014,Percent,0.604,312
Borough Park,Single Fathers,2014,Percent,0.501,312
Borough Park,Grandparents,2014,Percent,0.229,312
Borough Park,Other,2014,Percent,0.341,312
Coney Island,Married Couples,2014,Percent,0.27,313
Coney Island,Single Mothers,2014,Percent,0.642,313
Coney Island,Single Fathers,2014,Percent,0.658,313
Coney Island,Grandparents,2014,Percent,0.281,313
Coney Island,Other,2014,Percent,0.463,313
Flatbush/Midwood,Married Couples,2014,Percent,0.263,314
Flatbush/Midwood,Single Mothers,2014,Percent,0.375,314
Flatbush/Midwood,Single Fathers,2014,Percent,0.298,314
Flatbush/Midwood,Grandparents,2014,Percent,0.193,314
Flatbush/Midwood,Other,2014,Percent,0.315,314
Sheepshead Bay,Married Couples,2014,Percent,0.218,315
Sheepshead Bay,Single Mothers,2014,Percent,0.289,315
Sheepshead Bay,Single Fathers,2014,Percent,0.449,315
Sheepshead Bay,Grandparents,2014,Percent,0.111,315
Sheepshead Bay,Other,2014,Percent,0.596,315
Brownsville,Married Couples,2014,Percent,0.232,316
Brownsville,Single Mothers,2014,Percent,0.587,316
Brownsville,Single Fathers,2014,Percent,0.479,316
Brownsville,Grandparents,2014,Percent,0.349,316
Brownsville,Other,2014,Percent,0.55,316
East Flatbush,Married Couples,2014,Percent,0.201,317
East Flatbush,Single Mothers,2014,Percent,0.339,317
East Flatbush,Single Fathers,2014,Percent,0.327,317
East Flatbush,Grandparents,2014,Percent,0.193,317
East Flatbush,Other,2014,Percent,0.155,317
